,Gramas,ODS,,
1646,prenatales,Salud y bienestar,,
1647,presintomatica,Salud y bienestar,,
1648,proambiental,Ciudades y comunidades sostenibles,,
1649,proambientales,Ciudades y comunidades sostenibles,,
1650,probioticas,Salud y bienestar,,
1651,probiotico,Salud y bienestar,,
1652,probioticos,Salud y bienestar,,
1653,productiva,"Industria, innovación e infraestructuras",,
1654,productividad,"Industria, innovación e infraestructuras",,
1655,productlvo,"Industria, innovación e infraestructuras",,
1656,produccion,"Industria, innovación e infraestructuras",,
1657,profesorado,"Paz, justicia e instituciones sólidas",,
1658,profesoras,Trabajo decente y crecimiento económico;  Igualdad de género,,
1659,profesores,Trabajo decente y crecimiento económico,,
1660,proinflamatorios,Salud y bienestar,,
1661,propagadas,Salud y bienestar,,
1662,propragacion,Salud y bienestar,,
1663,prostata,Salud y bienestar,,
1664,protesis,Salud y bienestar,,
1665,prototipado,"Industria, innovación e infraestructuras",,
1666,prototipadora,"Industria, innovación e infraestructuras",,
1667,prototipaje,"Industria, innovación e infraestructuras",,
1668,pseudoescorpiones,Vida de ecosistemas terrestres,,
1669,pseudorrabia,Salud y bienestar,,
1670,pseudovirales,Salud y bienestar,,
1671,psicoactivas,"Salud y bienestar; Paz, justicia e instituciones sólidas",,
1672,psicoafectivo,Salud y bienestar,,
1673,psicobiologia,Salud y bienestar,,
1674,psicoeducativa,Salud y bienestar,,
1675,psicofarmacos,Salud y bienestar,,
1676,psicofiosiologia,Salud y bienestar,,
1677,psicofisiologicos,Salud y bienestar,,
1678,psicologico,Salud y bienestar,,
1679,psicologicos,Salud y bienestar,,
1680,psicologos,Salud y bienestar,,
1681,psicopatologia,Salud y bienestar,,
1682,psicopatologicas,Salud y bienestar,,
1683,psicosocial,Salud y bienestar,,
1684,psicoterapeutico,Salud y bienestar,,
1685,pulmonares,Salud y bienestar,,
1686,pulmones,Salud y bienestar,,
1687,python,"Industria, innovación e infraestructuras",,
1688,quebrada,Agua limpia y saneamiento,,
1689,quirurgica,Salud y bienestar,,
1690,quirurgico,Salud y bienestar,,
1691,qumioterapia,Salud y bienestar,,
1692,racismos,"Paz, justicia e instituciones sólidas",,
1693,radiactividad,Salud y bienestar,,
1694,radiactivo,Salud y bienestar,,
1695,radioactiva,Salud y bienestar,,
1696,radioactivas,Salud y bienestar,,
1697,radioactivo,Salud y bienestar,,
1698,radioactivos,Salud y bienestar,,
1699,radiografia,Salud y bienestar,,
1700,radiografias,Salud y bienestar,,
1701,radiologica,Salud y bienestar,,
1702,radiologicos,Salud y bienestar,,
1703,radioterapia,Salud y bienestar,,
1704,radiotoxicidad,Salud y bienestar,,
1705,raiz,Vida de ecosistemas terrestres,,
1706,ranas,Vida de ecosistemas terrestres,,
1707,reciclables,Ciudades y comunidades sostenibles,,
1708,recicladores,Ciudades y comunidades sostenibles,,
1709,reciclaje,Ciudades y comunidades sostenibles,,
1710,recontaminacion,Ciudades y comunidades sostenibles,,
1711,refinerias,"Industria, innovación e infraestructuras",,
1712,reforestacion,Ciudades y comunidades sostenibles,,
1713,reforestando,Ciudades y comunidades sostenibles,,
1714,reivindican,"Paz, justicia e instituciones sólidas",,
1715,remolacha,Producción y consumo responsable,,
1716,renovable,Energía asequible y no contaminante,,
1717,renovables,Energía asequible y no contaminante,,
1718,reparaciones,Ciudades y comunidades sostenibles,,
1719,repatriar,"Paz, justicia e instituciones sólidas",,
1720,represa,Energía asequible y no contaminante,,
1721,reproduction,Salud y bienestar,,
1722,reproductiva,Salud y bienestar,,
1723,reproductivo,Salud y bienestar,,
1724,reproductivos,Salud y bienestar,,
1725,reproductores,Salud y bienestar,,
1726,resguardo,"Paz, justicia e instituciones sólidas",,
1727,residualidad,Salud y bienestar,,
1728,respirador,Salud y bienestar,,
1729,respiradores,Salud y bienestar,,
1730,restauracion,Ciudades y comunidades sostenibles,,
1731,retinopatia,Salud y bienestar,,
1732,retinoscopia,Salud y bienestar,,
1733,reumatoide,Salud y bienestar,,
1734,reumatologia,Salud y bienestar,,
1735,reurbanizacion,Salud y bienestar,,
1736,revascularizacion,Salud y bienestar,,
1737,robles,Vida de ecosistemas terrestres,,
1738,robotecnologia,"Industria, innovación e infraestructuras",,
1739,roboticas,"Industria, innovación e infraestructuras",,
1740,robotico,"Industria, innovación e infraestructuras",,
1741,roboticos,"Industria, innovación e infraestructuras",,
1742,ropa,Producción y consumo responsable,,
1743,ruralidad,"Paz, justicia e instituciones sólidas",,
1744,sabila,Producción y consumo responsable,,
1745,salariales,Trabajo decente y crecimiento económico,,
1746,salario,Trabajo decente y crecimiento económico,,
1747,salarios,Trabajo decente y crecimiento económico,,
1748,salmonella,Salud y bienestar,,
1749,salmonidos,Salud y bienestar,,
1750,salud,Salud y bienestar,,
1751,saludable,Hambre cero,,
1752,saludables,Hambre cero,,
1753,sanguineas,Salud y bienestar,,
1754,sanguineos,Salud y bienestar,,
1755,sanitarias,Agua limpia y saneamiento,,
1756,sanitario,Agua limpia y saneamiento,,
1757,sanitarios,Agua limpia y saneamiento,,
1758,secuestro,"Paz, justicia e instituciones sólidas",,
1759,sedentarios,Salud y bienestar,,
1760,sedentarismo,Salud y bienestar,,
1761,sedimentarias,Agua limpia y saneamiento,,
1762,sedimentologia,Agua limpia y saneamiento,,
1763,segregacion,"Paz, justicia e instituciones sólidas",,
1764,sembradas,Producción y consumo responsable,,
1765,sembradios,Producción y consumo responsable,,
1766,semiconductoras,"Industria, innovación e infraestructuras",,
1767,semiconductores,"Industria, innovación e infraestructuras",,
1768,sensores,"Industria, innovación e infraestructuras",,
1769,sensorial,"Industria, innovación e infraestructuras",,
1770,sensoriales,"Industria, innovación e infraestructuras",,
1771,septico,Salud y bienestar,,
1772,septicos,Salud y bienestar,,
1773,sequias,Acción por el clima,,
1774,serpientes,Vida de ecosistemas terrestres,,
1775,sexo,Igualdad de género,,
1776,sexos,Igualdad de género,,
1777,sexual,Igualdad de género,,
1778,sexuales,Igualdad de género,,
1779,sexualidad,Igualdad de género,,
1780,sexualidades,Igualdad de género,,
1781,siderurgico,"Industria, innovación e infraestructuras",,
1782,siembra,Producción y consumo responsable,,
1783,siembro,Producción y consumo responsable,,
1784,silvestres,Vida de ecosistemas terrestres,,
1785,silvoagropecuario,Producción y consumo responsable,,
1786,silvopastoreo,Producción y consumo responsable,,
1787,silvopastoriles,Producción y consumo responsable,,
1788,simulador,"Industria, innovación e infraestructuras",,
1789,simuladores,"Industria, innovación e infraestructuras",,
1790,sindical,"Paz, justicia e instituciones sólida",,
1791,sindicato,"Paz, justicia e instituciones sólida",,
1792,sindicatos,"Paz, justicia e instituciones sólida",,
1793,sindrome,Salud y bienestar,,
1794,sindromes,Salud y bienestar,,
1795,sintomaticos,Salud y bienestar,,
1796,sintomatologia,Salud y bienestar,,
1797,soberanias,"Paz, justicia e instituciones sólidas",,
1798,socioambientales,Ciudades y comunidades sostenibles,,
1799,sociocultural,Ciudades y comunidades sostenibles,,
1800,socioecologica,Ciudades y comunidades sostenibles,,
1801,socioecologico,Ciudades y comunidades sostenibles,,
1802,socioecologicos,Ciudades y comunidades sostenibles,,
1803,socioeconomia,Fin de la pobreza,,
1804,socioeconomica,Fin de la pobreza,,
1805,socioeconomicos,Fin de la pobreza,,
1806,socioecosistemas,Ciudades y comunidades sostenibles,,
1807,sociotecnologia,Ciudades y comunidades sostenibles,,
1808,socioterritoriales,"Paz, justicia e instituciones sólidas",,
1809,software,"Industria, innovación e infraestructuras",,
1810,softwares,"Industria, innovación e infraestructuras",,
1811,sofware,"Industria, innovación e infraestructuras",,
1812,soldado,"Paz, justicia e instituciones sólidas",,
1813,sostenible,Ciudades y comunidades sostenibles,,
1814,sostenibles,Ciudades y comunidades sostenibles,,
1815,startups,"Industria, innovación e infraestructuras",,
1816,streptoccocus,Salud y bienestar,,
1817,subclinica,Salud y bienestar,,
1818,subestacion,Energía asequible y no contaminante,,
1819,subjetividades,"Paz, justicia e instituciones sólidas",,
1820,submarina,Vida submarina,,
1821,submarino,Vida submarina,,
1822,submarinos,Vida submarina,,
1823,suburbanas,"Paz, justicia e instituciones sólidas",,
1824,sueldos,Trabajo decente y crecimiento económico,,
1825,sufragar,"Paz, justicia e instituciones sólidas",,
1826,sufragara,"Paz, justicia e instituciones sólidas",,
1827,sufragista,"Paz, justicia e instituciones sólidas",,
1828,suicida,Salud y bienestar,,
1829,suicidios,Salud y bienestar,,
1830,supercomputacion,"Industria, innovación e infraestructuras",,
1831,supercondensadores,"Industria, innovación e infraestructuras",,
1832,superconductividad,"Industria, innovación e infraestructuras",,
1833,sustentabilidad,Ciudades y comunidades sostenibles,,
1834,tapabocas,Salud y bienestar,,
1835,taquicardia,Salud y bienestar,,
1836,tecnnosalud,Salud y bienestar,,
1837,tecnoambiental,Ciudades y comunidades sostenibles,,
1838,tecnologia,"Industria, innovación e infraestructuras",,
1839,tecnologias,"Industria, innovación e infraestructuras",,
1840,tecnologicas,"Industria, innovación e infraestructuras",,
1841,telecomunicacion,"Industria, innovación e infraestructuras",,
1842,telecomunicaciones,"Industria, innovación e infraestructuras",,
1843,teledermatologia,"Industria, innovación e infraestructuras",,
1844,telemedicina,"Industria, innovación e infraestructuras",,
1845,telerradiologia,"Industria, innovación e infraestructuras",,
1846,teletrabajo,Trabajo decente y crecimiento económico,,
1847,terapeutica,Salud y bienestar,,
1848,terapeuticas,Salud y bienestar,,
1849,terapeuticos,Salud y bienestar,,
1850,terapia,Salud y bienestar,,
1851,terapias,Salud y bienestar,,
1852,termocicladores,"Industria, innovación e infraestructuras",,
1853,territorializacion,"Paz, justicia e instituciones sólidas",,
1854,territorios,"Paz, justicia e instituciones sólidas",,
1855,terrorismo,"Paz, justicia e instituciones sólidas",,
1856,tifoidea,Salud y bienestar,,
1857,tilapia,Vida de ecosistemas terrestres,,
1858,tiroideas,Salud y bienestar,,
1859,tiroidectomia,Salud y bienestar,,
1860,tiroides,Salud y bienestar,,
1861,toxica,Salud y bienestar,,
1862,toxicidad,Salud y bienestar,,
1863,toxicocinetica,Salud y bienestar,,
1864,toxicodinamia,Salud y bienestar,,
1865,toxicogenicos,Salud y bienestar,,
1866,toxicologia,Salud y bienestar,,
1867,toxicologica,Salud y bienestar,,
1868,toxicologicas,Salud y bienestar,,
1869,toxicologicos,Salud y bienestar,,
1870,toxicomania,Salud y bienestar,,
1871,toxoplasmosis,Salud y bienestar,,
1872,trabajada,Trabajo decente y crecimiento económico,,
1873,trabajadora,Trabajo decente y crecimiento económico,,
1874,trabajadoras,Trabajo decente y crecimiento económico,,
1875,transcraneal,Salud y bienestar,,
1876,transcraneana,Salud y bienestar,,
1877,transexuales,Igualdad de género,,
1878,transfronterizos,"Paz, justicia e instituciones sólidas",,
1879,transgenero,Igualdad de género,,
1880,transgenicas,"Industria, innovación e infraestructuras",,
1881,transgenicos,"Industria, innovación e infraestructuras",,
1882,transnacionales,"Industria, innovación e infraestructuras",,
1883,transplante,Salud y bienestar,,
1884,transplantes,Salud y bienestar,,
1885,transvaginal,Igualdad de género,,
1886,trasmisibles,Salud y bienestar,,
1887,trasmitidas,Salud y bienestar,,
1888,trasplantes,Salud y bienestar,,
1889,traumatico,Salud y bienestar,,
1890,traumatologia,Salud y bienestar,,
1891,tribunales,"Paz, justicia e instituciones sólidas",,
1892,trucha,Vida de ecosistemas terrestres,,
1893,truchas,Vida de ecosistemas terrestres,,
1894,tuberculosa,Salud y bienestar,,
1895,tuberculosis,Salud y bienestar,,
1896,tuberia,Agua limpia y saneamiento,,
1897,tuberias,Agua limpia y saneamiento,,
1898,tumor,Salud y bienestar,,
1899,turistica,"Industria, innovación e infraestructuras",,
1900,turisticos,"Industria, innovación e infraestructuras",,
1901,ultrananocristalino,"Industria, innovación e infraestructuras",,
1902,umbilical,Salud y bienestar,,
1903,umbilicales,Salud y bienestar,,
1904,unipluriversidad,"Paz, justicia e instituciones sólidas",,
1905,universidades,Educación de calidad,,
1906,universitarios,Educación de calidad,,
1907,unlversidad,Educación de calidad,,
1908,urbanismo,Ciudades y comunidades sostenibles,,
1909,urbanista,Ciudades y comunidades sostenibles,,
1910,urbanistas,Ciudades y comunidades sostenibles,,
1911,urbanisticos,Ciudades y comunidades sostenibles,,
1912,urgencia,Salud y bienestar,,
1913,urgencias,Salud y bienestar,,
1914,urogenital,Salud y bienestar,,
1915,urologia,Salud y bienestar,,
1916,utilidades,"Industria, innovación e infraestructuras",,
1917,uvas,Producción y consumo responsable,,
1918,vacuna,Salud y bienestar,,
1919,vacunacion,Salud y bienestar,,
1920,vacunaciones,Salud y bienestar,,
1921,vacunado,Salud y bienestar,,
1922,vacunas,Salud y bienestar,,
1923,vegetacion,Vida submarina;  Vida de ecosistemas terrestres ,,
1924,vegetal,Hambre cero,,
1925,vegetales,Hambre cero,,
1926,vegetativas,Salud y bienestar,,
1927,vegetativos,Salud y bienestar,,
1928,venenos,Salud y bienestar,,
1929,venenosos,Vida submarina;  Vida de ecosistemas terrestres ,,
1930,ventricular,Salud y bienestar,,
1931,vertebrado,Vida submarina;  Vida de ecosistemas terrestres ,,
1932,vertebrados,Vida submarina;  Vida de ecosistemas terrestres ,,
1933,vesiculas,Salud y bienestar,,
1934,viboras,Vida de ecosistemas terrestres,,
1935,vida,Vida submarina;  Vida de ecosistemas terrestres ,,
1936,videojuego,"Industria, innovación e infraestructuras",,
1937,videojuegos,"Industria, innovación e infraestructuras",,
1938,vidrio,"Industria, innovación e infraestructuras",,
1939,viento,Ciudades y comunidades sostenibles,,
1940,violenta,"Paz, justicia e instituciones sólidas",,
1941,viral,Salud y bienestar,,
1942,virologia,Salud y bienestar,,
1943,virologica,Salud y bienestar,,
1944,viruela,Salud y bienestar,,
1945,virulencia,Salud y bienestar,,
1946,viruses,Salud y bienestar,,
1947,viscoelasticidad,"Industria, innovación e infraestructuras",,
1948,vitaminas,Hambre cero,,
1949,vomitos,Salud y bienestar,,
1950,votacion,"Paz, justicia e instituciones sólidas",,
1951,votar,"Paz, justicia e instituciones sólidas",,
1952,vulnerabiliad,Reducción de desigualdades;  Fin de la pobreza,,
1953,vulnerabilidad,Reducción de desigualdades;  Fin de la pobreza,,
1954,vulnerabilidades,Reducción de desigualdades;  Fin de la pobreza,,
1955,vulnerables,Reducción de desigualdades;  Fin de la pobreza,,
1956,zanahoria,Producción y consumo responsable,,
1957,zika,Salud y bienestar,,
1958,zoocriaderos,Ciudades y comunidades sostenibles;  Vida submarina;  Vida de ecosistemas terrestres,,
1959,zoologicos,Ciudades y comunidades sostenibles;  Vida submarina;  Vida de ecosistemas terrestres,,
1960,zoonosis,Salud y bienestar,,
1961,zoonotica,Salud y bienestar,,
1962,zoonoticas,Salud y bienestar,,
1963,zoonotico,Salud y bienestar,,
1964,zoonoticos,Salud y bienestar,,
1965,zygoptera,Vida de ecosistemas terrestres,,
1967,pobres,Fin de la pobreza,,
1969,economicas,Fin de la pobreza,,
1971,economico,Fin de la pobreza,,
1972,economicos,Fin de la pobreza,,
1973,ricos,Fin de la pobreza,,
1974,diarios,Fin de la pobreza,,
1975,economia,Fin de la pobreza,,
1976,recuperacion,Fin de la pobreza,,
1977,economica,Fin de la pobreza,,
1979,necesidades,Fin de la pobreza,,
1980,satisfacer,Fin de la pobreza,,
1981,pobre,Fin de la pobreza,,
1984,subsisten,Fin de la pobreza,,
1985,ingreso,Fin de la pobreza,,
1986,inestabilidad,Fin de la pobreza,,
1988,vulnerable,Fin de la pobreza,,
1990,bienestar,Fin de la pobreza,,
1991,alimentos,Hambre cero,,
1992,dietas,Hambre cero,,
1994,dieta,Hambre cero,,
1999,subalimentadas,Hambre cero,,
2003,subalimentacion,Hambre cero,,
2004,alimentacion,Hambre cero,,
2006,nutricional,Hambre cero,,
2007,grasas,Hambre cero,,
2008,pescado,Hambre cero,,
2011,arroz,Hambre cero,,
2012,lactancia,Hambre cero,,
2014,sal,Hambre cero,,
2015,desnutricion,Hambre cero,,
2016,comer,Hambre cero,,
2017,alimentar,Hambre cero,,
2018,vegetariana,Hambre cero,,
2021,comestibles,Hambre cero,,
2022,malnutrition,Hambre cero,,
2023,calorias,Hambre cero,,
2024,macronutrientes,Hambre cero,,
2025,alimentado,Hambre cero,,
2027,hambruna,Hambre cero,,
2028,vih,Salud y bienestar,,
2030,sida,Salud y bienestar,,
2031,enfermedades,Salud y bienestar,,
2032,infecciones,Salud y bienestar,,
2033,muertes,Salud y bienestar,,
2036,tratamiento,Salud y bienestar,,
2039,onusida,Salud y bienestar,,
2041,oms,Salud y bienestar,,
2042,pandemia,Salud y bienestar,,
2044,transmisibles,Salud y bienestar,,
2047,malaria,Salud y bienestar,,
2049,contrajeron,Salud y bienestar,,
2055,mueren,Salud y bienestar,,
2056,transmision,Salud y bienestar,,
2057,murieron,Salud y bienestar,,
2058,antirretrovirales,Salud y bienestar,,
2060,morir,Salud y bienestar,,
2061,infectado,Salud y bienestar,,
2063,virus,Salud y bienestar,,
2064,sana,Salud y bienestar,,
2065,tratamientos,Salud y bienestar,,
2066,salvar,Salud y bienestar,,
2067,sufrimiento,Salud y bienestar,,
2068,antirretrovirica,Salud y bienestar,,
2069,maternoinfantil,Salud y bienestar,,
2073,sarampion,Salud y bienestar,,
2074,educacion,Educación de calidad,,
2075,primaria,Educación de calidad,,
2077,escuela,Educación de calidad,,
2078,escuelas,Educación de calidad,,
2081,escolarizar,Educación de calidad,,
2082,secundaria,Educación de calidad,,
2083,docentes,Educación de calidad,,
2084,alumnos,Educación de calidad,,
2085,alfabetizados,Educación de calidad,,
2086,alfabetizacion,Educación de calidad,,
2088,escolar,Educación de calidad,,
2090,escolarizados,Educación de calidad,,
2091,escolarizacion,Educación de calidad,,
2093,lectura,Educación de calidad,,
2094,escolares,Educación de calidad,,
2095,universitaria,Educación de calidad,,
2096,tecnicas,Educación de calidad,,
2097,mujeres,Igualdad de Genero,,
2098,niñas,Igualdad de Genero,,
2101,genital,Igualdad de Genero,,
2103,generos,Igualdad de Genero,,
2104,intima,Igualdad de Genero,,
2105,casarse,Igualdad de Genero,,
2106,pareja,Igualdad de Genero,,
2107,esposas,Igualdad de Genero,,
2108,efectiva,Igualdad de Genero,,
2109,empoderar,Igualdad de Genero,,
2110,esposos,Igualdad de Genero,,
2111,hombre,Igualdad de Genero,,
2112,mujer,Igualdad de Genero,,
2114,saneamiento,Agua limpia y saneamiento,,
2116,hidricos,Agua limpia y saneamiento,,
2119,rios,Agua limpia y saneamiento,,
2120,salubre,Agua limpia y saneamiento,,
2122,limpia,Agua limpia y saneamiento,,
2123,residuales,Agua limpia y saneamiento,,
2124,letrinas,Agua limpia y saneamiento,,
2126,humedales,Agua limpia y saneamiento,,
2127,fluviales,Agua limpia y saneamiento,,
2128,energia,Energía asequible y no contaminante,,
2129,electricidad,Energía asequible y no contaminante,,
2130,energetica,Energía asequible y no contaminante,,
2131,energeticos,Energía asequible y no contaminante,,
2134,contaminante,Energía asequible y no contaminante,,
2135,energias,Energía asequible y no contaminante,,
2136,bioenergia,Energía asequible y no contaminante,,
2138,empleos,Trabajo decente y crecimiento económico,,
2140,trabajadores,Trabajo decente y crecimiento económico,,
2143,salarial,Trabajo decente y crecimiento económico,,
2145,laborales,Trabajo decente y crecimiento económico,,
2146,desarrollo,"Industria, Innovación e Infraestructuras",,
2151,industria,"Industria, Innovación e Infraestructuras",,
2152,industrias,"Industria, Innovación e Infraestructuras",,
2154,inversion,"Industria, Innovación e Infraestructuras",,
2155,industrial,"Industria, Innovación e Infraestructuras",,
2158,productos,"Industria, Innovación e Infraestructuras",,
2160,industriales,"Industria, Innovación e Infraestructuras",,
2161,comunicaciones,"Industria, Innovación e Infraestructuras",,
2162,tecnologico,"Industria, Innovación e Infraestructuras",,
2164,financieros,"Industria, Innovación e Infraestructuras",,
2165,modernizar,"Industria, Innovación e Infraestructuras",,
2169,manufactureros,"Industria, Innovación e Infraestructuras",,
2170,digital,"Industria, Innovación e Infraestructuras",,
2171,ambientalmente,"Industria, Innovación e Infraestructuras",,
2173,empresariales,"Industria, Innovación e Infraestructuras",,
2176,desigualdades,Reducción de las desigualdades,,
2177,igualdad,Reducción de las desigualdades,,
2181,discriminatorias,Reducción de las desigualdades,,
2183,intolerancia,Reducción de las desigualdades,,
2184,racismo,Reducción de las desigualdades,,
2186,emisiones,Ciudades y comunidades sostenibles,,
2191,comunitarias,Ciudades y comunidades sostenibles,,
2194,consumo,Producción y consumo responsible,,
2197,consumidores,Producción y consumo responsible,,
2198,producida,Producción y consumo responsible,,
2202,carbono,Acción por el clima,,
2203,temperatura,Acción por el clima,,
2204,gases,Acción por el clima,,
2205,grados,Acción por el clima,,
2206,mitigacion,Acción por el clima,,
2208,hielo,Acción por el clima,,
2209,deshielo,Acción por el clima,,
2210,climaticamente,Acción por el clima,,
2211,caluroso,Acción por el clima,,
2213,artico,Acción por el clima,,
2215,marinos,Vida Submarina,,
2216,ecosistemas,Vida Submarina,,
2217,oceano,Vida Submarina,,
2218,costeros,Vida Submarina,,
2219,costeras,Vida Submarina,,
2220,marino,Vida Submarina,,
2221,costera,Vida Submarina,,
2223,pesquera,Vida Submarina,,
2226,ballena,Vida Submarina,,
2227,pesquerias,Vida Submarina,,
2228,pescadores,Vida Submarina,,
2229,pesqueras,Vida Submarina,,
2231,litorales,Vida Submarina,,
2235,flora,Vida de ecosistemas terrestres,,
2236,forestal,Vida de ecosistemas terrestres,,
2237,montañosos,Vida de ecosistemas terrestres,,
2238,microorganismos,Vida de ecosistemas terrestres,,
2239,montañas,Vida de ecosistemas terrestres,,
2240,invertebrados,Vida de ecosistemas terrestres,,
2241,invasoras,Vida de ecosistemas terrestres,,
2242,instituciones,"Paz, justicia e instituciones solidas",,
2243,violencia,"Paz, justicia e instituciones solidas",,
2244,justicia,"Paz, justicia e instituciones solidas",,
2245,derechos,"Paz, justicia e instituciones solidas",,
2246,corrupcion,"Paz, justicia e instituciones solidas",,
2247,pacificas,"Paz, justicia e instituciones solidas",,
2250,refugiados,"Paz, justicia e instituciones solidas",,
2253,participacion,"Paz, justicia e instituciones solidas",,
2254,mandatos,"Paz, justicia e instituciones solidas",,
2255,etnico,"Paz, justicia e instituciones solidas",,
2258,desapariciones,"Paz, justicia e instituciones solidas",,
2259,participativas,"Paz, justicia e instituciones solidas",,
2260,locales,"Paz, justicia e instituciones solidas",,
2261,violan,"Paz, justicia e instituciones solidas",,
2262,inseguridad,"Paz, justicia e instituciones solidas",,
2263,dignidad,"Paz, justicia e instituciones solidas",,
2264,asesinatos,"Paz, justicia e instituciones solidas",,
2266,combatir,"Paz, justicia e instituciones solidas",,
2268,cooperacion,Alianzas para lograr los objetivos,,
2269,alianza,Alianzas para lograr los objetivos,,
2270,convenido,Alianzas para lograr los objetivos,,
2271,convenio,Alianzas para lograr los objetivos,,
